Season,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR
1976,Reds,2135,6538,141,857,802,210,10.40%,13.80%,0.144,0.309,0.28,0.357,0.424,0.357,120,19,166.6,39.2,45.9
2001,Mariners,2043,6474,169,927,881,174,9.50%,15.30%,0.157,0.32,0.288,0.36,0.445,0.347,116,16.2,143,84.6,44.4
1975,Reds,2148,6419,124,840,779,168,10.80%,14.30%,0.13,0.303,0.271,0.353,0.401,0.345,111,20.8,103.6,99.1,43.2
1974,Reds,2163,6373,135,776,714,146,10.90%,14.70%,0.135,0.289,0.26,0.343,0.394,0.336,108,11.8,71.5,90.2,38.6
1977,Phillies,2164,6291,186,847,795,135,9.10%,12.80%,0.169,0.294,0.279,0.347,0.448,0.347,110,4.1,77.6,95.8,38.5
1976,Yankees,1705,6156,120,730,681,163,7.60%,10.00%,0.119,0.283,0.269,0.328,0.389,0.33,112,6.9,87.2,80,38.2
1998,Braves,1971,6217,215,826,794,98,8.80%,17.10%,0.181,0.3,0.272,0.342,0.453,0.346,108,0.8,61.7,124.6,37.6
1974,Dodgers,2020,6328,139,798,743,149,9.40%,13.00%,0.129,0.294,0.272,0.342,0.401,0.337,111,2.5,82.1,68.3,37.4
1996,Mariners,1736,6518,245,993,954,90,10.30%,16.10%,0.197,0.312,0.287,0.366,0.484,0.367,112,-1.2,109.5,33.1,37.1
2012,Angels,1847,6121,187,767,732,134,7.30%,18.20%,0.159,0.311,0.274,0.332,0.433,0.331,113,18.2,107.9,45.7,37
1977,Yankees,1724,6261,184,831,784,93,8.50%,10.90%,0.163,0.291,0.281,0.344,0.444,0.347,117,0.2,123.5,27.7,37
2013,Red Sox,1815,6382,178,853,819,123,9.10%,20.50%,0.169,0.329,0.277,0.349,0.446,0.347,115,11.3,121.1,6.7,36.6
1990,Athletics,1891,6240,164,733,693,141,10.40%,15.90%,0.137,0.281,0.254,0.336,0.391,0.329,109,4.3,70.6,85,36.4
1998,Yankees,1962,6444,207,965,907,153,10.10%,15.90%,0.172,0.317,0.288,0.364,0.46,0.36,116,3.1,138.5,6.9,36.1
1982,Brewers,1638,6337,216,891,843,84,7.60%,11.30%,0.176,0.285,0.279,0.335,0.455,0.348,120,-3.6,147.6,-4.5,35.9
2011,Red Sox,1803,6414,203,875,842,102,9.00%,17.30%,0.181,0.314,0.28,0.349,0.461,0.352,117,-17.6,108.9,21.1,35.6
1984,Tigers,1875,6375,187,829,788,106,9.40%,14.80%,0.161,0.294,0.271,0.342,0.432,0.345,115,-6,109.2,27.9,35.5
