Season,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,ERA,FIP,xFIP,R,ER,TBF,SIERA,RS/9
1981,Yankees,14,10,30,161,0,279,7.06,3.1,0.58,0.253,79.50%, , ,2.26,2.91, ,85,70,1132, , 
1988,Dodgers,27,16,49,295,0,433,7.17,2.91,0.42,0.268,77.20%, , ,2.35,2.79, ,137,113,1774, , 
1990,Athletics,14,10,64,303,0,417.1,6.02,2.7,0.52,0.237,78.80%, , ,2.35,3.19, ,122,109,1667, , 
2003,Dodgers,19,20,58,438,0,472.2,8.93,2.84,0.57,0.264,79.90%,48.30%,8.60%,2.46,2.93,3.18,137,129,1870,2.92,2.68
2013,Braves,29,15,53,466,0,460.2,8.19,3.03,0.55,0.275,81.70%,49.20%,7.70%,2.46,3.13,3.42,131,126,1867,3.19,3.5
1983,Mets,25,18,33,274,0,472.1,5.28,4.12,0.32,0.252,76.10%, , ,2.5,3.47, ,162,131,1957, , 
1983,Dodgers,27,16,40,278,0,399.2,6.35,3.22,0.5,0.255,75.30%, , ,2.5,3.19, ,142,111,1664, , 
1975,Pirates,21,13,31,226,0,379.2,4.76,3.91,0.28,0.248,76.20%, , ,2.54,3.27, ,127,107,1585, , 
1974,Expos,17,8,27,223,0,425.1,5.23,3.05,0.61,0.259,78.90%, , ,2.54,3.4, ,144,120,1763, , 
1976,Phillies,26,17,44,247,0,417,7.75,3.06,0.47,0.268,76.90%, , ,2.55,2.7, ,137,118,1709, , 
2013,Royals,33,24,52,427,0,461.2,9.57,3.12,0.82,0.275,81.40%,41.60%,9.20%,2.55,3.21,3.38,147,131,1871,2.97,4.04
1976,Yankees,17,13,37,155,0,292,5.36,3.11,0.4,0.25,75.80%, , ,2.56,3.08, ,96,83,1181, , 
2002,Braves,30,14,57,469,0,512,7.52,3.83,0.58,0.262,80.00%,46.60%,6.70%,2.6,3.48,3.97,165,148,2131,3.72,3.27
1988,Reds,21,18,43,343,0,459.1,6.64,3.72,0.57,0.261,78.30%, , ,2.61,3.41, ,157,133,1909, , 
1976,Indians,24,18,46,237,0,506,6.17,3.79,0.43,0.254,77.10%, , ,2.61,3.24, ,169,147,2068, , 
1989,Athletics,17,17,57,317,0,428.1,6.41,3.17,0.48,0.232,74.10%, , ,2.63,3.16, ,146,125,1728, , 
1984,Astros,24,26,29,312,0,499,5.72,3.17,0.45,0.263,76.10%, , ,2.63,3.23, ,172,146,2055, , 
1979,Expos,29,21,39,260,0,426.2,6.48,3.44,0.57,0.264,77.50%, , ,2.64,3.33, ,149,125,1759, , 
1974,Orioles,22,14,25,185,0,366.2,5.03,3.02,0.47,0.256,77.40%, , ,2.65,3.17, ,120,108,1494, , 
2012,Reds,31,22,56,425,0,434.1,9.9,3.75,0.68,0.284,80.60%,45.90%,8.50%,2.65,3.26,3.58,144,128,1822,3.23,3.54
1984,Cardinals,26,17,51,312,0,501,5.12,3.05,0.5,0.268,78.50%, , ,2.69,3.42, ,165,150,2046, , 
1995,Cardinals,26,23,38,377,0,462.1,7.83,3.31,0.66,0.268,77.30%, , ,2.71,3.49, ,164,139,1905, , 
1988,Mets,24,14,46,241,0,341.2,6.24,2.92,0.37,0.282,75.80%, , ,2.71,2.97, ,120,103,1436, , 
1984,Tigers,27,9,51,268,0,499.1,6.07,3.03,0.74,0.243,78.10%, , ,2.74,3.55, ,171,152,2026, , 
1989,Dodgers,19,18,36,285,0,403,7.19,2.9,0.51,0.278,77.80%, , ,2.75,2.93, ,133,123,1655, , 
1981,Tigers,15,5,22,146,0,285,4.96,3.79,0.47,0.23,77.50%, , ,2.75,3.56, ,94,87,1172, , 
2012,Braves,25,14,47,460,0,486.1,8.9,2.91,0.72,0.294,79.90%,51.40%,10.20%,2.76,3.21,3.32,163,149,1995,3.07,4
1981,Braves,21,12,24,215,0,329.1,4.84,3.31,0.46,0.257,76.00%, , ,2.76,3.32, ,117,101,1374, , 
1992,Brewers,24,18,39,338,0,385.1,6.45,3.78,0.61,0.255,78.20%, , ,2.78,3.6, ,134,119,1589, , 
1982,Padres,24,27,41,277,0,446.1,5.5,2.96,0.67,0.253,76.30%, , ,2.78,3.5, ,163,138,1845, , 
1988,Padres,15,22,39,238,0,384.2,7.16,3.51,0.54,0.282,77.10%, , ,2.78,3.13, ,137,119,1601, , 
1984,Expos,18,24,48,272,0,384.1,7.45,3.61,0.54,0.277,77.70%, , ,2.79,3.17, ,135,119,1609, , 
1975,Reds,33,16,50,277,0,445.1,4.14,2.49,0.53,0.28,78.90%, , ,2.79,3.34, ,152,138,1871, , 
1982,Giants,37,18,45,323,0,557,5.4,2.83,0.57,0.271,76.00%, , ,2.8,3.33, ,204,173,2308, , 
1981,Royals,9,13,24,127,0,244.1,3.46,3.35,0.37,0.267,77.00%, , ,2.8,3.58, ,88,76,1049, , 
2005,Indians,22,18,51,409,0,446,7.22,2.74,0.89,0.256,79.80%,42.50%,9.50%,2.8,3.72,3.87,154,139,1816,3.53,3.71
1976,Twins,33,9,23,221,0,471.2,4.88,3,0.52,0.259,76.70%, , ,2.8,3.35, ,164,147,1936, , 
1976,Mets,18,18,25,183,0,298.1,6.06,3.35,0.48,0.245,74.70%, , ,2.81,3.2, ,106,93,1218, , 
1988,Athletics,29,14,64,290,0,438.2,7.1,3.24,0.55,0.259,76.50%, , ,2.81,3.14, ,152,137,1806, , 
2010,Padres,24,16,49,499,0,511.2,9.57,2.88,0.7,0.284,78.30%,45.80%,8.10%,2.81,2.97,3.13,171,160,2077,2.79,3.43
1988,Brewers,18,14,51,252,0,408,5.87,3.11,0.73,0.258,77.50%, , ,2.82,3.58, ,147,128,1674, , 
1980,Dodgers,29,27,42,266,0,416.1,5.08,3.78,0.39,0.264,75.80%, , ,2.83,3.49, ,152,131,1765, , 
